1236, 569, 1638, 791
1271, 645, 1630, 896
932, 396, 985, 421
1077, 458, 1353, 592
635, 220, 639, 440
60, 662, 415, 512
631, 191, 708, 249
1108, 498, 1367, 642
653, 443, 713, 406
4, 889, 274, 707
1314, 557, 1605, 686
131, 616, 277, 557
1522, 865, 1619, 938
2, 891, 275, 707
1197, 618, 1509, 853
629, 36, 631, 172
630, 191, 708, 250
725, 383, 725, 95
15, 760, 236, 647
1146, 515, 1258, 575
68, 809, 289, 671
65, 682, 326, 565
1123, 468, 1173, 489
481, 417, 488, 518
67, 810, 383, 613
1433, 796, 1573, 902
1309, 549, 1616, 685
708, 390, 708, 188
484, 474, 488, 519
1075, 443, 1210, 501
95, 642, 370, 526
1179, 488, 1414, 588
274, 619, 508, 499
1068, 517, 1157, 581
651, 264, 703, 289
735, 196, 735, 146
936, 419, 1066, 517
468, 0, 469, 27
491, 226, 500, 393
625, 219, 629, 442
463, 165, 482, 437
667, 362, 667, 402
495, 211, 501, 315
651, 217, 651, 256
469, 31, 485, 273
1221, 511, 1443, 609
1180, 534, 1374, 637
1449, 616, 1635, 698
730, 189, 730, 149
231, 649, 451, 533
4, 685, 182, 610
373, 517, 490, 472
1324, 577, 1452, 639
702, 155, 702, 94
1400, 613, 1536, 679
513, 193, 525, 428
414, 505, 468, 483
690, 262, 690, 316
651, 262, 683, 275
1476, 613, 1627, 674
982, 448, 1101, 531
1453, 612, 1637, 693
697, 410, 697, 430
1104, 537, 1273, 647
502, 485, 508, 569
473, 305, 475, 335
1470, 646, 1635, 726
399, 506, 477, 476
1000, 466, 1061, 513
756, 402, 865, 402
675, 177, 675, 213
963, 394, 1001, 410
467, 580, 518, 547
345, 542, 488, 484
1477, 830, 1619, 937
671, 283, 673, 403
1146, 587, 1201, 628
835, 398, 875, 398
452, 3, 465, 190
1086, 536, 1188, 613
152, 642, 336, 560
655, 453, 691, 428
768, 397, 824, 397
502, 16, 632, 85
624, 254, 625, 305
1241, 650, 1446, 804
673, 66, 674, 122
1321, 615, 1473, 699
695, 394, 695, 254
180, 591, 303, 542
663, 191, 664, 233
966, 396, 1150, 474
760, 151, 816, 151
176, 677, 300, 612
1478, 607, 1610, 663
654, 365, 656, 483
400, 530, 494, 489
703, 389, 703, 252
1164, 584, 1194, 606
339, 665, 427, 606
730, 420, 730, 252
295, 785, 424, 785
480, 10, 491, 170
346, 589, 501, 507
620, 1, 623, 166
255, 575, 327, 545
1001, 395, 1018, 232
683, 323, 685, 438
910, 360, 914, 287
1115, 497, 1170, 527
500, 460, 539, 443
401, 612, 523, 539
688, 158, 688, 130
908, 392, 942, 419
507, 0, 632, 69
972, 407, 1002, 420
735, 258, 764, 281
1185, 615, 1213, 636
1145, 478, 1301, 547
4, 679, 157, 615
842, 147, 898, 147
516, 351, 637, 351
1085, 541, 1118, 567
505, 25, 618, 82
489, 307, 499, 463
245, 570, 329, 537
659, 745, 779, 745
912, 404, 913, 377
484, 224, 497, 420
947, 429, 961, 268
1159, 581, 1181, 597
1031, 452, 1112, 499
662, 250, 663, 346
763, 321, 763, 282
497, 443, 622, 426
512, 295, 522, 449
903, 534, 998, 534
503, 56, 619, 110
524, 1, 620, 56
1151, 584, 1199, 621
735, 413, 735, 282
525, 417, 624, 407
707, 200, 707, 95
520, 346, 634, 346
680, 245, 681, 358
501, 2, 632, 74
758, 367, 758, 284
505, 65, 633, 122
633, 308, 633, 253
855, 396, 907, 396
505, 38, 618, 93
920, 271, 924, 192
1265, 642, 1624, 893
657, 191, 702, 221
733, 146, 829, 146
1053, 506, 1095, 538
940, 317, 947, 205
1126, 509, 1283, 596
506, 52, 633, 111
505, 69, 621, 121
527, 401, 635, 392
663, 139, 664, 192
908, 391, 977, 443
662, 249, 682, 253
676, 323, 676, 379
1478, 613, 1602, 663
949, 391, 999, 415
507, 122, 621, 163
394, 518, 504, 473
500, 284, 509, 467
187, 628, 209, 618
508, 79, 619, 126
291, 671, 332, 646
485, 280, 493, 399
503, 42, 620, 99
526, 434, 636, 419
